State,City,Street,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,LotArea,Price,Region
AL,Saraland,Scott Dr,36571,30.819534,-88.09596,4.0,2.0,1614.0,0.380500000000211,239900.0,South
AL,Robertsdale,Cowpen Creek Rd,36567,30.590004,-87.580376,3.0,2.0,1800.0,3.199999999999818,259900.0,South
AL,Gulf Shores,Spinnaker Dr #201,36542,30.284956,-87.74792,2.0,2.0,1250.0,597.982,342500.0,South
AL,Chelsea,Mallet Way,35043,33.357986,-86.6087,3.0,3.0,2224.0,0.2600000000002183,335000.0,South
AL,Huntsville,Turtlebrook Ct,35811,34.775517,-86.4407,3.0,2.0,1225.0,1742.7594000000001,250000.0,South
AL,Montgomery,Brampton Ln,36117,32.372746,-86.165115,3.0,2.0,1564.0,8712.0,151000.0,South
AL,Boaz,Greenwood Ave,35957,34.210014,-86.13669,3.0,2.0,1717.0,0.38000000000010914,239000.0,South
AL,Albertville,Lexington Ave,35950,34.2754,-86.21792,3.0,2.0,1674.0,0.3443526170799487,249900.0,South
AL,Mobile,Emerald Dr W,36619,30.595074,-88.20307,3.0,3.0,2190.0,0.344300000000203,295000.0,South
AL,Madison,Highpointb Plan Grayson Lndg,35756,34.755985,-86.86592,4.0,3.0,3030.0,0.3400000000001455,524900.0,South
AL,Huntsville,Chancel Dr SE #5046,35802,34.691204,-86.565834,2.0,3.0,2099.0,1820.306,199000.0,South
AL,Mobile,Stanton Rd,36607,30.693125,-88.087814,3.0,2.0,1194.0,8585.676,150000.0,South
AL,Fort Mitchell,Old Glory Way,36856,32.27287,-84.980064,4.0,2.0,2094.0,0.3400000000001455,285000.0,South
AL,Myrtlewood,Cedar Ave,36763,32.513927,-87.83505,3.0,1.0,800.0000000000002,0.5300000000002001,145000.0,South
AL,Brewton,Kerlin Ave,36426,31.12658,-87.05359,3.0,3.0,2451.0,0.2582999999999629,50439.0,South
AL,Montgomery,Crestview Ave,36109,32.39595,-86.269714,3.0,2.0,2196.0,0.6100000000001273,169000.0,South
AL,Semmes,Park Ave,36575,30.774414,-88.257675,3.0,1.0,1100.0,1.0,160000.0,South
AL,Irvington,Moores Ln,36544,30.455751,-88.242485,5.0,3.0,2285.0,1.1772000000000844,139900.0,South
AL,Mulga,Morningside Dr,35118,33.524075,-87.00953,3.0,2.0,1410.0,0.3400000000001455,79900.0,South
AL,Red Level,County Road 21 N,36474,31.39427,-86.60098,3.0,2.0,1783.0,1.0,175000.0,South
AL,Grand Bay,Border Dr E,36541,30.481138,-88.352,3.0,2.0,2252.0,0.4501000000000204,148000.0,South
AL,Mobile,Driver St,36617,30.702614,-88.08904,6.0,4.0,3036.0,6141.960000000001,164000.0,South
AL,Birmingham,Wenonah Rd SW,35211,33.448425,-86.87966,3.0,3.0,2760.0,0.34999999999990905,199000.0,South
AL,Henagar,State Highway 75,35978,34.649124,-85.71751,4.0,2.0,1420.0,0.8000000000001819,194500.0,South
AL,Birmingham,Avenue I,35218,33.506554,-86.89646,3.0,2.0,1044.0,7840.799999999999,69000.0,South
AL,Mobile,Spring Grv S,36695,30.6471,-88.2378,3.0,2.0,1823.0,8712.0,240000.0,South
AL,Montgomery,Narrow Lane Rd,36116,32.273514,-86.25934,3.0,3.0,3693.0,6.900000000000091,200000.0,South
AL,Russellville,Gaines Ave N,35654,34.50726,-87.7332,6.0,4.0,4690.0,1.0,215000.0,South
AL,Scottsboro,Cecil St,35768,34.65146,-86.03795,4.0,2.0,1558.0,0.4899999999997817,149900.0,South
AL,Huntsville,Club View Dr NW,35810,34.750492,-86.62149,3.0,2.0,1532.0,0.2641873278234925,219000.0,South
AL,Fairhope,Fairfax Dr,36532,30.504227,-87.874535,4.0,3.0,2410.0,0.2699999999999818,409800.0,South
AL,Phenix City,13th St,36867,32.472347,-85.009224,3.0,2.0,1188.0,7405.200000000001,150000.0,South
AL,Meridianville,Kingsford St,35759,34.87313,-86.58187,3.0,2.0,1679.0,6534.0,285000.0,South
AL,Decatur,Rosemont St SE,35601,34.57727,-86.95213,3.0,1.0,1308.0,0.2699999999999818,214900.0,South
AL,Remlap,Cedar Ln,35133,33.78361,-86.630005,2.0,2.0,1600.0,4.869999999999891,180000.0,South
AL,Mobile,Green Forest Ct,36618,30.717815,-88.147285,3.0,2.0,1296.0,4425.696,175000.0,South
AL,Fort Mitchell,Ottawa Trl,36856,32.27377,-84.99826,5.0,4.0,3051.0,0.34999999999990905,312000.0,South
AL,Mobile,Montfort Rd S,36608,30.70528,-88.17934,4.0,5.0,1598.0,0.4259999999999309,150000.0,South
AL,Huntsville,Villaret Dr SW,35803,34.621323,-86.57433,3.0,2.0,1471.0,0.2800000000002001,275000.0,South
AL,Birmingham,42nd St S,35222,33.51739,-86.76976,3.0,2.0,1175.0,0.25,335000.0,South
AL,Haleyville,25th St,35565,34.23136,-87.618965,3.0,2.0,1450.0,0.3856749311294152,179900.0,South
AL,Opelika,Riverstone Dr,36804,32.603745,-85.333275,4.0,3.0,1825.0,0.25,284900.0,South
AL,Dothan,Woodland Dr,36301,31.201424,-85.413605,3.0,1.0,1458.0,0.3537649219465493,143000.0,South
AL,Tuscaloosa,22nd Ave E,35405,33.15471,-87.50979,3.0,2.0,1444.0,2015.3238000000001,159900.0,South
AL,Dothan,Frankfort Dr,36305,31.2081,-85.44741,3.0,2.0,1375.0,0.25,199900.0,South
AL,Jasper,Smith Lake Dam Rd,35504,33.981796,-87.188896,3.0,2.0,2666.0,4.800000000000182,99700.0,South
AL,Montgomery,Meriwether Rd,36117,32.35633,-86.179306,3.0,4.0,2361.0,0.6799999999998363,150000.0,South
AL,Opelika,Cutler Ridge Ct,36801,32.657303,-85.42706,4.0,3.0,2307.0,1.8600000000001273,456789.0,South
AL,Birmingham,Deer Park Dr,35210,33.527466,-86.71101,3.0,2.0,1227.0,87.11999999999989,295000.0,South
AL,Huntsville,W Tuliptree Dr SE,35803,34.63312,-86.536224,4.0,2.0,1999.0,0.2899999999999636,305000.0,South
AL,Foley,E Myrtle Ave,36535,30.404478,-87.67821,3.0,2.0,1752.0,26.0,289900.0,South
AL,Alabaster,Blue Spring Pl,35007,33.22804,-86.83084,3.0,3.0,1880.0,0.2699999999999818,279900.0,South
AL,Grand Bay,Wheatcroft Road Ext #S,36541,30.499058,-88.33377,3.0,2.0,1900.0,20.0,359900.0,South
AL,Chelsea,Highway 440,35043,33.354427,-86.59509,3.0,2.0,1425.0,1.8200000000001637,279000.0,South
AL,Madison,Tynedale Dr,35756,34.69121,-86.78906,4.0,3.0,2354.0,9147.6,365000.0,South
AL,Mobile,Muscadine Ave,36618,30.721144,-88.2097,4.0,2.0,2077.0,2077.812,135000.0,South
AL,Mobile,Laurel St,36604,30.681978,-88.07807,3.0,1.0,1490.0,6865.056,235000.0,South
AL,Selma,Furniss Ave,36701,32.40969,-87.03237,3.0,1.0,2263.0,6708.24,54900.0,South
AL,Fultondale,Sayers Rd,35068,33.622974,-86.81058,3.0,3.0,2535.0,0.36999999999989086,215000.0,South
AL,Odenville,Brookhaven Dr,35120,33.642292,-86.48792,3.0,2.0,1273.0,8712.0,221900.0,South
AL,Mobile,Clarke St,36606,30.66862,-88.09325,3.0,1.0,1000.0,3341.052,79000.0,South
AL,Huntsville,Hickory Hill Ln SE,35802,34.660194,-86.5568,4.0,3.0,2875.0,0.4600000000000364,399900.0,South
AL,Alabaster,Hickory Hills Dr,35007,33.257935,-86.80834,3.0,2.0,1808.0,0.4699999999997999,240000.0,South
AL,Gordo,11th St SE,35466,33.317497,-87.891014,3.0,2.0,1592.0,7840.799999999999,225000.0,South
AL,Haleyville,32nd St,35565,34.243496,-87.60556,3.0,2.0,1688.0,0.42000000000007276,149900.0,South
AL,Hazel Green,Will Holt Rd,35750,34.97667,-86.65006,3.0,2.0,1976.0,0.5599999999999454,135000.0,South
AL,Madison,Preston Wood Dr,35756,34.700115,-86.793274,4.0,4.0,3263.0,0.32999999999992724,575000.0,South
AL,Huntsville,Adonna Dr NW,35810,34.76469,-86.64163,3.0,2.0,1798.0,8330.0,225000.0,South
AL,Mobile,Macy Pl,36604,30.685225,-88.0755,3.0,2.0,2455.0,7575.084,489000.0,South
AL,Bay Minette,Tanner Ln,36507,30.810877,-87.80625,3.0,2.0,1859.0,3.0,209900.0,South
AL,Gadsden,Edison Ave,35904,34.057,-86.01735,3.0,3.0,2542.0,1.4299999999998363,349900.0,South
AL,Duncanville,Colonial Dr,35456,33.118427,-87.47632,4.0,3.0,3556.0,2.0,179900.0,South
AL,Opelika,Flintwood Ln,36804,32.601738,-85.4107,4.0,3.0,2499.0,0.42000000000007276,373000.0,South
AL,New Brockton,Highway 51,36351,31.474384,-85.850395,2.0,1.0,1851.0,5.7199999999998,60000.0,South
AL,Huntsville,Craft Ave NW,35816,34.7451,-86.612724,3.0,2.0,1320.0,1.0,179000.0,South
AL,Cherokee,Barton Rd,35616,34.736748,-87.89004,5.0,1.0,3459.0,3.699999999999818,89900.0,South
AL,Birmingham,43rd St,35208,33.490116,-86.890594,3.0,2.0,1444.0,6969.6,178000.0,South
AL,Mobile,Creekwood Place Dr,36695,30.64961,-88.21921,4.0,3.0,2954.0,0.46349999999983993,249900.0,South
AL,Mobile,N Gulf Field Dr,36605,30.6478,-88.08221,5.0,4.0,1505.0,7997.616,129900.0,South
AL,Foley,Simmons Dr,36535,30.336601,-87.695,4.0,2.0,2494.0,0.9200000000000728,229900.0,South
AL,Mobile,Middle Ring Rd,36608,30.71276,-88.191345,4.0,2.0,1034.0,7949.7,122000.0,South
AL,Northport,Dunston Cir,35475,33.303703,-87.594124,4.0,2.0,2349.0,3400.642,329900.0,South
AL,York,Lincoln St,36925,32.484257,-88.31267,4.0,2.0,2295.0,0.8600000000001273,139900.0,South
AL,Grand Bay,Wheatcroft Rd S,36541,30.441343,-88.31281,3.0,2.0,1874.0,20.0,359900.0,South
AL,Dothan,Foxrun Trl,36303,31.257858,-85.4552,5.0,3.0,2472.0,0.45798898071643634,269000.0,South
AL,Perdido Beach,Cypress St,36530,30.347391,-87.501076,3.0,2.0,1860.0,0.45499999999992724,189000.0,South
AL,Helena,Southwind Dr,35080,33.27857,-86.830025,3.0,2.0,2190.0,0.40000000000009095,274800.0,South
AL,Opelika,Matsu Ln,36804,32.615627,-85.38071,4.0,3.0,2508.0,8712.0,355000.0,South
AL,Gulf Shores,Muscogee Rd,36542,30.232487,-87.977135,3.0,3.0,1265.0,6250.86,422000.0,South
AL,Mobile,Hamilton Creek Dr N,36695,30.635536,-88.270996,3.0,3.0,1888.0,0.4007000000001426,249900.0,South
AL,Chelsea,Scarlett Ln,35043,33.360428,-86.623604,3.0,2.0,1914.0,9147.6,329500.0,South
AL,Eight Mile,Rosemary Rd,36613,30.814259,-88.24769,2.0,2.0,16.0,0.5997000000002117,80000.0,South
AL,Mobile,General Lee Ave,36619,30.582676,-88.18447,4.0,2.0,1807.0,0.343199999999797,249900.0,South
AL,Bay Minette,McGee Cir,36507,30.86652,-87.78434,3.0,2.0,1439.0,0.32999999999992724,159900.0,South
AL,Madison,Mill Walk Ct,35758,34.700047,-86.76704,5.0,5.0,3923.0,0.40000000000009095,674900.0,South
AL,Foley,E Myrtle Ave,36535,30.404423,-87.67775,3.0,2.0,1361.0,10149.48,240000.0,South
AL,Prattville,Cooper Ave,36066,32.461464,-86.43951,3.0,2.0,1450.0,0.42000000000007276,170000.0,South
AL,Montgomery,Federal Dr,36107,32.38716,-86.27291,4.0,3.0,2238.0,7500.0,159900.0,South
AL,Montgomery,Southlawn Dr,36108,32.3066,-86.33512,3.0,2.0,1176.0,7405.2,85000.0,South
AL,Athens,Arbor Dr,35613,34.797318,-86.92516,2.0,2.0,1927.0,597.982,268000.0,South
AL,Mobile,Dixie Ln,36693,30.637695,-88.179756,3.0,2.0,1319.0,10053.648,164900.0,South
AL,Pinson,Shelterwood Cir,35126,33.768818,-86.62087,4.0,3.0,2430.0,871.2,240000.0,South
AL,Monroeville,Hollyhock Rd,36460,31.507168,-87.31117,3.0,2.0,1840.0,1395.214,165000.0,South
AL,Boaz,Elm St #C,35957,34.201015,-86.16064,2.0,2.0,1300.0,597.5600000000002,249900.0,South
AL,Enterprise,Highway 134,36330,31.317612,-85.91449,3.0,1.0,1025.0,1.400000000000091,104900.0,South
AL,Huntsville,River Mill Rd,35811,34.79965,-86.48301,4.0,4.0,3510.0,0.4800000000000182,600000.0,South
AL,Birmingham,Rome Ave,35206,33.553673,-86.715324,3.0,1.0,1438.0,6969.6,175000.0,South
AL,Piedmont,State Highway 9 S,36272,34.037712,-85.610985,2.0,3.0,2160.0,11.239999999999782,430000.0,South
AL,Evergreen,Bruner Ave,36401,31.430414,-86.95541,5.0,2.0,3078.0,0.7100000000000364,93000.0,South
AL,Huntsville,Mountainbrook Dr SE,35801,34.721184,-86.550224,5.0,4.0,3320.0,0.4499999999998181,310000.0,South
AL,Birmingham,Regency Way,35242,33.397533,-86.63604,4.0,4.0,3240.0,0.40000000000009095,789900.0,South
AL,Calera,E Milgray,35040,33.141056,-86.77153,3.0,3.0,2274.0,0.4899999999997817,324000.0,South
AL,Foley,Pencarro Blvd,36535,30.365225,-87.71655,3.0,2.0,1730.0,9670.32,299000.0,South
AL,Auburn,Azalea Dr,36830,32.579987,-85.47276,3.0,2.0,1700.0,0.3000000000001819,369900.0,South
