State,City,Street,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,PPSq,LotArea,Price,Region
KY,West Liberty,Lost Creek Rd,41472.0,37.88256,-83.01153,0.0,0.0,0.0,,160.0,159000.0,South
KY,Campton,Stamper Branch Rd,41301.0,37.80851,-83.45603,0.0,0.0,270.0000000000002,,75.0,80000.0,South
KY,Taylorsville,Wilder Rd,40071.0,37.953876,-85.36633,0.0,0.0,452.39999999999986,,3.9299999999998363,29500.0,South
KY,Whitley City,TRACT Two Creekmore Privett Rd,42653.0,36.5956,-84.3964,0.0,0.0,0.0,,17.63000000000011,34900.0,South
KY,Liberty,Bryant Ridge Rd,42539.0,37.331505,-84.947334,0.0,0.0,270.0000000000002,,7.860009182736576,70000.0,South
KY,Monticello,Hickory Point Dr,42633.0,36.928474,-84.91477,0.0,0.0,452.39999999999986,,5.0,75000.0,South
KY,Williamsburg,Little Wolf Creek Rd,40769.0,36.634895,-84.17779,0.0,0.0,270.0000000000002,,19.819995408631712,59999.0,South
KY,Louisa,Contrary Crk,41230.0,38.013466,-82.62067,0.0,0.0,0.0,,89.0,69900.0,South
KY,Ashland,W Happy Rdg,41102.0,38.463985,-82.74072,0.0,0.0,270.0000000000002,,28.610009182736576,100000.0,South
KY,Richmond,Maple Grove Rd,40475.0,37.779274,-84.394226,0.0,0.0,336.0,,7.823002754821118,179000.0,South
LA,Arabi,Perrin Dr,70032.0,29.9531,-89.99469,0.0,0.0,2521.0,,6599.34,42500.0,South
LA,New Orleans,Frankfort St,70126.0,30.026535,-90.03734,0.0,0.0,2521.0,,6743.088,62000.0,South
LA,Hammond,Luther Stewart Rd,70403.0,30.482126,-90.56469,0.0,0.0,1125.1999999999998,,0.9969999999998436,48000.0,South
LA,Slidell,Clara Dr,70458.0,30.226784,-89.83295,0.0,0.0,4740.0,16.877637130801688,4875.0,80000.0,South
LA,Bush,Hickory Fields Rd,70431.0,30.56991,-89.91389,0.0,0.0,270.0000000000002,,117.0,149000.0,South
MD,Baltimore,McCulloh St,21217.0,39.30945,-76.63591,0.0,0.0,1350.0,14.814814814814817,13.08060146923799,20000.0,South
MD,Baltimore,Westmont Ave,21216.0,39.3007,-76.67125,0.0,0.0,1320.0,53.03030303030303,1306.8,70000.0,South
MD,North East,Red Toad Rd,21901.0,39.60732,-75.97563,0.0,0.0,912.0,137.06140350877192,0.30989439853055956,125000.0,South
MD,Baltimore,N Morley St,21229.0,39.28742,-76.6731,0.0,0.0,1041.0,19.21229586935639,1456.0,20000.0,South
OK,Muse,Physical Address,74949.0,34.72637,-94.75528,0.0,0.0,0.0,,20.0,90000.0,South
OK,Heavener,C Physical Address,74937.0,34.91871,-94.52946,0.0,0.0,0.0,,6.0,24000.0,South
OK,Red Oak,Physical Address,74563.0,35.008232,-95.15042,0.0,0.0,0.0,,160.0,228000.0,South
OK,Smithville,Us Highway 259,74957.0,34.538303,-94.68928,0.0,0.0,452.39999999999986,,5.0,29900.0,South
OK,Wister,Physical Address,74966.0,34.99874,-94.92144,0.0,0.0,0.0,,40.0,69000.0,South
OK,Albion,K Trl,74521.0,34.605423,-95.08722,0.0,0.0,0.0,,10.0,29500.0,South
OK,Proctor,Taylor Rdg,74457.0,36.122623,-94.6899,0.0,0.0,0.0,,5.0,50000.0,South
TN,Sevierville,N Ball Hollow Rd,37876.0,35.843216,-83.38413,0.0,0.0,0.0,,7.5300000000002,36999.0,South
TN,Loretto,Johnson Ln,38469.0,35.092636,-87.46122,0.0,0.0,0.0,,38.11999999999989,159000.0,South
WV,Glenville,/1 Dry Fork Rd,26351.0,38.86053,-80.818565,0.0,0.0,0.0,,55.5,89000.0,South
WV,Walker,Fox Run,26180.0,39.1346,-81.31219,0.0,0.0,0.0,,16.0,115000.0,South
WV,Glenville,Gluck Run Rd,26351.0,38.94398,-80.79952,0.0,0.0,0.0,,94.0,115000.0,South
WV,Buckhannon,Carrolton Rd,26201.0,39.068127,-80.07143,0.0,0.0,0.0,,249.0,1.0,South
WV,Sutton,Camp Scott Rd,26601.0,38.59917,-80.67062,0.0,0.0,0.0,,62.5,99000.0,South
WV,Charles Town,Jefferson Ave,25414.0,39.28834,-77.84856,0.0,0.0,860.0,139.53488372093022,7405.2,120000.0,South
WV,Gandeeville,Vicars Rdg,25243.0,38.658627,-81.499,0.0,0.0,270.0000000000002,,24.0,47900.0,South
AK,Anchor Point,Old Sterling Hwy,99556.0,59.76056,-151.83823,0.0,0.0,320.0,278.125,4.599999999999909,89000.0,West
AK,Sterling,Bear Rd,99672.0,60.551025,-150.62386,0.0,0.0,900.0,166.66666666666666,9.769999999999982,150000.0,West
